,name,lat,lng,address,genre,zipcode
335,Alpha International Travel,40.75402069091797,-73.98590087890625,119 W 40th St Fl 12,Travel Agencies,10018
336,Inspo Travel,40.7551234,-73.9854633,"130 West 42nd St, Suite 401",NA,10018
337,Shermans Travel HQ,40.749814290676305,-73.98886593487453,112 W 34th St,Tech Startups,10018
338,Travel Traders,40.758473933859996,-73.98556544606153,"1535 Broadway, 8th Floors",Gift Shops,10018
339,New World Travel,40.753027572777626,-73.9854870120816,NA,Offices,10018
340,Euro lloyd travel group,40.75223517022994,-73.9849800600919,57 38st,Offices,10018
341,Travel Universally,40.751041412353516,-73.9856185913086,48 W 37th St,General Travel,10018
342,H & S Travel & Tours,40.75252151489258,-73.98426055908203,37 W 39th St Rm 1003,General Travel,10018
343,Travel 2.0 Meetup,40.761012,-73.985559,NA,General Entertainment,10018
344,Picasso Travel,40.75125254006028,-73.984957103743,989 6thAve,Travel Agencies,10018
345,Delgado Travel,40.751902,-73.98442299999999,35 W 38th St,Transportation Services,10018
346,Atlas Travel Solutions,40.759475,-73.984092,NA,Tourist Information Centers,10018
347,Travel + Leisure,40.75607080141273,-73.9828539492645,1120 Avenue of the Americas,General Travel,10018
348,Ensemble Travel Group HQ,40.75048236883272,-73.98484232195737,29 W 36th St,NA,10018
349,"Travel, Tours & Fares",40.75765036318693,-73.98282215130382,4W 43 St. Suite 320,General Travel,10018
350,Downtown Travel,40.749406,-73.984737,3 W 35th St,General Travel,10018
351,Stealth Travel,40.760627,-73.983186,NA,Corporate Cafeterias,10018
352,Asahi Travel Group,40.74922698811379,-73.9837484434247,545 5th Ave,Tour Providers,10018
353,Schwartz Luggage Storage NYC,40.754440080925114,-73.99469247492767,357 w 37th St Ground Floor,General Travel,10018
354,Accomplished Traveler,40.75526415169696,-73.99364852853084,"330 W 38h St, Manhattan, NY 10018",General Travel,10018
355,Eastern Bus - 7th Ave and 34th Street,40.75063322617362,-73.9910741737232,340 7th Avenue,Bus Lines,10018
356,BlueOrange Travel - NYC Travel Agency,40.7620853,-73.9846163,1633 Broadway Fl 35,Travel Agencies,10019
357,CIRE Travel,40.7620791,-73.98460990000001,1633 Broadway Fl 35,Travel Agencies,10019
358,"Travel, Tours and Fares",40.75995403611524,-73.98773480203505,4W 43 St.  Suite 320,General Travel,10019
359,The Travel Inn,40.7601242,-73.9961543,515 W 42nd St,Hotels,10019
360,Roberta Sonnino Travel Inc. (ALTOUR),40.760128021240234,-73.98001861572266,1270 Avenue of the Americas Fl 4,General Travel,10019
361,RMP Travel,40.76357395562221,-73.98846365422825,355 W 52nd St,Offices,10019
362,modhop.com Travel Cave,40.76744843354449,-73.99136181863277,NA,Offices,10019
363,modhop Travel Cave,40.76776123046875,-73.99127960205078,NA,Tech Startups,10019
364,International Travel Health Consultants,40.76615524291992,-73.98416137695312,"310 W. 56th. St., #1 C/D",Doctor's Offices,10019
365,Gwe Travel,40.76364616666539,-73.98448649798601,60 E 42nd St Ste 1352,General Travel,10019
366,Fodor's Travel,40.767352122907376,-73.98258684595439,1745 Broadway,Travel Agencies,10019
367,Travel Money USA Broadway,40.763636,-73.982969,1691 Broadway,Financial or Legal Services,10019
368,Travel 2.0 Meetup,40.761012,-73.985559,NA,General Entertainment,10019
369,Stealth Travel,40.760627,-73.983186,NA,Corporate Cafeterias,10019
370,Atlas Travel Solutions,40.759475,-73.984092,NA,Tourist Information Centers,10019
371,Travel Inn Luxery Swimming Pool,40.760482,-73.996033,NA,Pools,10019
372,New Wave Travel Magazine,40.75977309846517,-73.98098945617674,1221 Avenue of the Americas,General Entertainment,10019
373,Travel Worldwide Cheap,40.76035821078918,-73.98008823394775,1271 Avenue of the Americas Ste 4300,Travel Agencies,10019
374,Fairouz Travel Inc,40.7625614,-73.9777983,1350 Ave Of The Americas Suite 313,Travel Agencies,10019
375,Venture,40.7668837,-73.9822441,3 Columbus Cir Fl 15,General Travel,10019
376,SpeetyTravels.Com,40.7620718,-73.98883639999997,353 W 48th St Fl 4,Hotels,10019
377,Puerto Rican Traveling Theatre,40.760685058108606,-73.98799322584604,304 W 47th St,Indie Theaters,10019
378,Travelers Patron Lounge,40.772122,-73.983772,20 Lincoln Center Plz,Theaters,10019
379,Travelex Currency Services,40.75944137573242,-73.98487854003906,1578 Broadway,Currency Exchanges,10019
380,VIP Traveler,40.76472810557294,-73.97865124046803,140 W 57th St,Travel Agencies,10019
381,Travelzoo,40.76245543571085,-73.97348432528374,590 Madison Ave Fl 37,Offices,10019
382,Roberta Sonnino Travel Inc. (ALTOUR),40.760128021240234,-73.98001861572266,1270 Avenue of the Americas Fl 4,General Travel,10020
383,New Wave Travel Magazine,40.75977309846517,-73.98098945617674,1221 Avenue of the Americas,General Entertainment,10020
384,Turkey Tours - Travel Services for Greece and Egypt,40.7583,-73.9808,64 W 48th St Ste 1103,NA,10020
385,Travel Worldwide Cheap,40.76035821078918,-73.98008823394775,1271 Avenue of the Americas Ste 4300,Travel Agencies,10020
386,"Travel, Tours & Fares",40.75765036318693,-73.98282215130382,4W 43 St. Suite 320,General Travel,10020
387,Stealth Travel,40.760627,-73.983186,NA,Corporate Cafeterias,10020
388,Solstice Travel Vacations,40.758304595947266,-73.96788024902344,"909 3rd Ave, #7563",General Travel,10021
389,Weill Cornell Travel Medicine,40.76490020751953,-73.95552062988281,450 E 69th St,Doctor's Offices,10021
390,Travel + Leisure's Global Bazaar,40.767250061035156,-73.96554565429688,643 Park Ave,Arts & Entertainment,10021
391,So Fine Travel,40.76233573257923,-73.96315008401871,1173A 2nd Ave #190,Travel Agencies,10021
392,Travel Health Services,40.769206,-73.965921,50 E 69th St,Doctor's Offices,10021
393,Lanciani Travel Jewelry,40.772743225097656,-73.96495056152344,922 Madison Ave,Jewelry Stores,10021
394,Zahid International Travels,40.75964307280483,-73.96165609359741,"New York, NY 10001",Miscellaneous Shops,10021
395,Yellow Bike Travels,40.75924301147461,-73.95995330810547,NA,Moving Targets,10021
396,Solstice Travel Vacations,40.758304595947266,-73.96788024902344,"909 3rd Ave, #7563",General Travel,10022
397,Maram Tours & Travel,40.753984,-73.971375,757 3rd Ave Fl 2031 # 20,Travel Agencies,10022
398,Ultramar Travel mgmt.,40.7563927591207,-73.97752684369019,14 E 47th St,General Travel,10022
399,Liberty Travel,40.760973,-73.968572,143 E 57th St,Travel Agencies,10022
400,The New York Center for Travel and Tropical Medicine,40.7598734,-73.9712088,110 E 55th St Fl 16,Medical Centers,10022
401,American Express Travel Services,40.75948054037175,-73.97266387939453,374 Park Ave,Travel Agencies,10022
402,SPE Travel,40.761232,-73.972947,550 Madison Ave Fl 8,Buildings,10022
403,Travel Agent Magazine,40.754109,-73.971831,757 3rd Ave Fl 5,Buildings,10022
404,The Travel House,40.76244354248047,-73.9718246459961,599 Madison Ave,Travel Agencies,10022
405,Kingdom Travel And Tours Corporation,40.7538778,-73.9728313,750 3rd Ave Fl 9,Travel Agencies,10022
406,So Fine Travel,40.76233573257923,-73.96315008401871,1173A 2nd Ave #190,Travel Agencies,10022
407,Travel Source Plus,40.75381851196289,-73.9741439819336,475 Lexington Ave,Miscellaneous Shops,10022
408,Paradissa Travel,40.752322,-73.973316,120 Yen PHu,Travel Agencies,10022
409,Luxury Travel by Wanda LLC,40.7524458,-73.97370529999999,708 3rd Avenue,General Travel,10022
410,Pisa Brothers Travel,40.752697999999995,-73.975851,NA,NA,10022
411,FROSCH,40.758803488315685,-73.96862517418803,909 Third Ave,Buildings,10022
412,Rupert the traveling hot spot,40.760639,-73.96914,NA,NA,10022
413,Zahid International Travels,40.75964307280483,-73.96165609359741,"New York, NY 10001",Miscellaneous Shops,10022
414,Traveler's Medical Service,40.76283012232359,-73.97192893345981,595 Madison Ave,Medical Centers,10022
415,Travelzoo,40.76245543571085,-73.97348432528374,590 Madison Ave Fl 37,Offices,10022
416,VaccationTravel,40.75204849243164,-73.96898651123047,333 E 46th St Apt 1D,Travel Agencies,10022
417,Yellow Bike Travels,40.75924301147461,-73.95995330810547,NA,Moving Targets,10022
418,Travelers,40.755877250507474,-73.97588913144348,NA,Buildings,10022
